match_id,innings,for_wicket,team,opposition,player1,player2,player1_runs,player2_runs,player1_balls,player2_balls,partnership_runs,partnership_balls
211028,1,5.0,England,Australia,2314.0,3865.0,4.0,3.0,6.0,5.0,7.0,11.0
211028,1,6.0,England,Australia,2314.0,7023.0,29.0,18.0,13.0,16.0,48.0,29.0
211028,1,7.0,England,Australia,2314.0,4661.0,8.0,9.0,3.0,5.0,17.0,8.0
211028,1,8.0,England,Australia,2314.0,7037.0,0.0,0.0,0.0,0.0,4.0,2.0
211028,2,1.0,Australia,England,2119.0,4176.0,6.0,7.0,3.0,8.0,15.0,11.0
211028,2,2.0,Australia,England,2119.0,4382.0,0.0,0.0,1.0,0.0,0.0,1.0
211028,2,3.0,Australia,England,4382.0,8876.0,0.0,0.0,1.0,1.0,0.0,2.0
211028,2,4.0,Australia,England,4382.0,6256.0,0.0,1.0,1.0,2.0,1.0,3.0
211028,2,5.0,Australia,England,2230.0,6256.0,0.0,0.0,2.0,4.0,0.0,6.0
211028,2,6.0,Australia,England,2066.0,2230.0,4.0,0.0,2.0,1.0,4.0,3.0
211028,2,7.0,Australia,England,2066.0,5966.0,0.0,3.0,2.0,2.0,3.0,4.0
211028,2,8.0,Australia,England,2286.0,5966.0,24.0,10.0,18.0,11.0,36.0,29.0
211028,2,9.0,Australia,England,2243.0,5966.0,1.0,2.0,3.0,7.0,5.0,10.0
211028,2,10.0,Australia,England,2101.0,2243.0,5.0,2.0,12.0,2.0,7.0,14.0
225271,1,1.0,Sri Lanka,England,1988.0,11334.0,34.0,34.0,23.0,25.0,75.0,48.0
225271,1,2.0,Sri Lanka,England,1988.0,6315.0,0.0,0.0,1.0,1.0,0.0,2.0
225271,1,3.0,Sri Lanka,England,1988.0,7419.0,7.0,2.0,6.0,4.0,9.0,10.0
225271,1,4.0,Sri Lanka,England,7419.0,9587.0,0.0,0.0,1.0,1.0,0.0,2.0
225271,1,5.0,Sri Lanka,England,5611.0,9587.0,7.0,9.0,7.0,4.0,18.0,11.0
225271,1,6.0,Sri Lanka,England,9587.0,48520.0,12.0,2.0,9.0,2.0,15.0,11.0
225271,1,7.0,Sri Lanka,England,11374.0,48520.0,8.0,10.0,7.0,4.0,19.0,11.0
225271,1,8.0,Sri Lanka,England,45105.0,48520.0,7.0,10.0,8.0,10.0,18.0,18.0
225271,1,9.0,Sri Lanka,England,11271.0,45105.0,1.0,6.0,2.0,4.0,7.0,6.0
225271,1,10.0,Sri Lanka,England,7989.0,11271.0,0.0,2.0,0.0,1.0,2.0,2.0
225271,2,1.0,England,Sri Lanka,3865.0,7023.0,18.0,33.0,24.0,21.0,59.0,45.0
225271,2,2.0,England,Sri Lanka,3865.0,8107.0,10.0,17.0,12.0,16.0,30.0,28.0
225271,2,3.0,England,Sri Lanka,2314.0,3865.0,5.0,15.0,7.0,8.0,20.0,15.0
225271,2,4.0,England,Sri Lanka,3865.0,10647.0,4.0,1.0,2.0,2.0,5.0,4.0
237242,1,1.0,West Indies,New Zealand,7406.0,7568.0,3.0,10.0,10.0,12.0,14.0,22.0
225271,2,5.0,England,Sri Lanka,3865.0,34719.0,25.0,13.0,11.0,9.0,38.0,20.0
237242,1,2.0,West Indies,New Zealand,7406.0,10460.0,8.0,4.0,14.0,9.0,14.0,23.0
225271,2,6.0,England,Sri Lanka,34719.0,34739.0,1.0,6.0,2.0,6.0,9.0,8.0
237242,1,3.0,West Indies,New Zealand,7406.0,45554.0,6.0,8.0,2.0,4.0,14.0,6.0
237242,1,4.0,West Indies,New Zealand,6401.0,7406.0,1.0,9.0,2.0,5.0,10.0,7.0
237242,1,5.0,West Indies,New Zealand,2120.0,6401.0,9.0,13.0,10.0,16.0,27.0,26.0
237242,1,6.0,West Indies,New Zealand,2120.0,45257.0,17.0,14.0,17.0,11.0,31.0,28.0
237242,1,7.0,West Indies,New Zealand,45257.0,47111.0,3.0,9.0,4.0,4.0,14.0,8.0
237242,1,8.0,West Indies,New Zealand,10451.0,45257.0,0.0,2.0,0.0,1.0,2.0,1.0
237242,2,1.0,New Zealand,West Indies,2121.0,10311.0,6.0,6.0,7.0,5.0,14.0,12.0
237242,2,2.0,New Zealand,West Indies,2235.0,10311.0,5.0,24.0,7.0,17.0,31.0,24.0
